Time,USDT,USDS,USDC,PayPal USD,USDe,DAI,PAXG_Price,bitcoin,聯準會利率,DXY_Index,USD/EUR,USD/JPY,USD/CNY,UNRATE,NASDAQ_Price,T10YIE(類似通膨日資料),VIX,道瓊平均工業指數,美國公債10年期殖利率,S&P500
2020/1/1,0.999836098,,1.004079232,,,1.000243,1528.142337,7200.174393,1.55,96.39,0.8919,108.7,6.9632,3.6,9092.19,1.79,12.47,28538.44,1.88,3257.8
2020/1/2,1.001565285,,1.005017006,,,0.997823,1525.200194,6985.470001,1.55,96.85,0.895,108.57,6.9644,3.6,9092.19,1.8,12.47,28868.8,1.88,3257.8
2020/1/3,1.004192448,,1.005272986,,,1.002185,1537.15949,7344.884183,1.55,96.84,0.8959,108.08,6.9655,3.6,9020.77,1.77,14.02,28634.88,1.8,3234.8
2020/1/4,1.00747231,,1.009466062,,,1.007795,1546.680558,7410.656566,1.55,96.84,0.8959,108.08,6.9655,3.6,9020.77,1.77,14.02,28634.88,1.8,3234.8
2020/1/5,1.006196689,,1.008496661,,,1.007635,1547.752547,7411.317327,1.55,96.84,0.8959,108.08,6.9655,3.6,9020.77,1.77,14.02,28634.88,1.8,3234.8
2020/1/6,1.00290252,,1.003119283,,,1.003022,1539.739673,7769.219039,1.55,96.67,0.893,108.36,6.976,3.6,9071.47,1.75,13.85,28703.38,1.81,3246.3
2020/1/7,1.001723313,,0.9994998951,,,0.996011,1538.278677,8163.692239,1.55,97,0.8966,108.42,6.9453,3.6,9068.58,1.74,13.79,28583.68,1.83,3237.2
2020/1/8,1.00425258,,1.004603463,,,1.005968,1575.601381,8079.862777,1.55,97.3,0.9005,109.12,6.9462,3.6,9129.24,1.75,13.45,28745.09,1.87,3253.1
2020/1/9,1.006573095,,1.007030824,,,1.005149,1567.36848,7879.071524,1.55,97.45,0.9004,109.51,6.9318,3.6,9203.43,1.74,12.54,28956.9,1.85,3274.7
2020/1/10,1.001462133,,1.000821618,,,1.002167,1514.934781,8166.55414,1.55,97.36,0.8992,109.46,6.9193,3.6,9178.86,1.76,12.56,28823.77,1.83,3265.3
2020/1/11,1.000091124,,1.00252928,,,1.002446,1520.124413,8037.537389,1.55,97.36,0.8992,109.46,6.9193,3.6,9178.86,1.76,12.56,28823.77,1.83,3265.3
2020/1/12,1.002477782,,1.004318012,,,1.001692,1523.797361,8192.494005,1.55,97.36,0.8992,109.46,6.9193,3.6,9178.86,1.76,12.56,28823.77,1.83,3265.3
2020/1/13,1.003346925,,1.004319134,,,1.001173,1527.764484,8144.194517,1.55,97.34,0.8981,109.93,6.8938,3.6,9273.93,1.77,12.32,28907.05,1.85,3288.1
2020/1/14,1.00182079,,1.002370636,,,1.001737,1568.980399,8827.764426,1.55,97.37,0.8986,109.97,6.8842,3.6,9251.33,1.77,12.39,28939.67,1.82,3283.2
2020/1/15,0.999656193,,1.001165434,,,0.995719,1521.476189,8807.010275,1.54,97.23,0.8968,109.88,6.8909,3.6,9258.69,1.75,12.42,29030.22,1.79,3289.3
2020/1/16,0.999230568,,1.002668048,,,0.984807,1515.410641,8723.785766,1.54,97.32,0.8979,110.14,6.8789,3.6,9357.13,1.74,12.32,29297.64,1.81,3316.8
2020/1/17,1.002879299,,1.004522954,,,1.003014,1589.678631,8929.037678,1.54,97.64,0.9018,110.14,6.8598,3.6,9388.94,1.75,12.1,29348.1,1.84,3329.6
2020/1/18,1.002741287,,1.005320014,,,1.001827,1592.042886,8942.808903,1.54,97.64,0.9018,110.14,6.8598,3.6,9388.94,1.75,12.1,29348.1,1.84,3329.6
2020/1/19,0.998534866,,0.9972901415,,,0.985941,1583.707999,8706.24513,1.54,97.64,0.9018,110.14,6.8598,3.6,9388.94,1.75,12.1,29348.1,1.84,3329.6
2020/1/20,1.000687537,,1.0008032,,,0.991633,1592.106264,8657.642939,1.54,97.61,0.9013,110.18,6.8669,3.6,9388.94,1.75,12.1,29348.1,1.84,3329.6
2020/1/21,1.001418364,,1.00264151,,,0.999183,1583.84434,8745.894788,1.54,97.53,0.9022,109.86,6.9058,3.6,9370.81,1.74,12.85,29196.04,1.78,3320.8
2020/1/22,1.000594773,,1.001615026,,,0.995976,1578.756452,8680.876042,1.55,97.53,0.9015,109.83,6.9067,3.6,9383.77,1.72,12.91,29186.27,1.77,3321.8
2020/1/23,0.998408664,,1.000878618,,,0.990997,1583.282493,8406.516068,1.55,97.69,0.9047,109.48,6.9367,3.6,9402.48,1.7,12.98,29160.09,1.74,3325.5
2020/1/24,1.002970057,,1.002793357,,,1.000083,1589.523098,8445.434282,1.55,97.85,0.9071,109.27,6.9367,3.6,9314.91,1.68,14.56,28989.73,1.7,3295.5
