Time,USDT,USDS,USDC,PayPal USD,USDe,DAI,PAXG_Price,bitcoin,聯準會利率,DXY_Index,USD/EUR,USD/JPY,USD/CNY,UNRATE,NASDAQ_Price,T10YIE(類似通膨日資料),VIX,道瓊平均工業指數,美國公債10年期殖利率,S&P500
2020/1/1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/2,0.001729,,0.000934,,,-0.002419,-0.001925,-0.02982,0,0.004772,0.003476,-0.0012,0.000172,0,0,0.005587,0,0.011576,0,0
2020/1/3,0.002623,,0.000255,,,0.004372,0.007841,0.051452,0,-0.0001,0.001006,-0.00451,0.000158,0,-0.00786,-0.01667,0.124298,-0.0081,-0.04255,-0.00706
2020/1/4,0.003266,,0.004171,,,0.005598,0.006194,0.008955,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/5,-0.001266,,-0.00096,,,-0.000159,0.000693,8.92E-05,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/6,-0.003274,,-0.005332,,,-0.004578,-0.005177,0.048291,0,-0.00176,-0.00324,0.002591,0.001507,0,0.00562,-0.0113,-0.01213,0.002392,0.005556,0.003555
2020/1/7,-0.001176,,-0.003608,,,-0.00699,-0.000949,0.050774,0,0.003414,0.004031,0.000554,-0.0044,0,-0.00032,-0.00571,-0.00433,-0.00417,0.01105,-0.0028
2020/1/8,0.002525,,0.005106,,,0.009997,0.024263,-0.01027,0,0.003093,0.00435,0.006456,0.00013,0,0.006689,0.005747,-0.02466,0.005647,0.021858,0.004912
2020/1/9,0.002311,,0.002416,,,-0.000814,-0.005225,-0.02485,0,0.001542,-0.00011,0.003574,-0.00207,0,0.008127,-0.00571,-0.06766,0.007369,-0.0107,0.00664
2020/1/10,-0.005078,,-0.006166,,,-0.002967,-0.033453,0.036487,0,-0.00092,-0.00133,-0.00046,-0.0018,0,-0.00267,0.011494,0.001595,-0.0046,-0.01081,-0.00287
2020/1/11,-0.001369,,0.001706,,,0.000278,0.003426,-0.0158,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/12,0.002386,,0.001784,,,-0.000752,0.002416,0.019279,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/13,0.000867,,0.000001,,,-0.000518,0.002603,-0.0059,0,-0.00021,-0.00122,0.004294,-0.00369,0,0.010357,0.005682,-0.01911,0.002889,0.010929,0.006983
2020/1/14,-0.001521,,-0.00194,,,0.000563,0.026978,0.083933,0,0.000308,0.000557,0.000364,-0.00139,0,-0.00244,0,0.005682,0.001128,-0.01622,-0.00149
2020/1/15,-0.002161,,-0.001202,,,-0.006008,-0.030277,-0.00235,-0.00645,-0.00144,-0.002,-0.00082,0.000973,0,0.000796,-0.0113,0.002421,0.003129,-0.01648,0.001858
2020/1/16,-0.000426,,0.001501,,,-0.010959,-0.003987,-0.00945,0,0.000926,0.001227,0.002366,-0.00174,0,0.010632,-0.00571,-0.00805,0.009212,0.011173,0.00836
2020/1/17,0.003652,,0.00185,,,0.018488,0.049008,0.023528,0,0.003288,0.004343,0,-0.00278,0,0.0034,0.005747,-0.01786,0.001722,0.016575,0.003859
2020/1/18,-0.000138,,0.000793,,,-0.001183,0.001487,0.001542,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/19,-0.004195,,-0.007987,,,-0.015857,-0.005235,-0.02645,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/20,0.002156,,0.003523,,,0.005773,0.005303,-0.00558,0,-0.00031,-0.00055,0.000363,0.001035,0,0,0,0,0,0,0
2020/1/21,0.00073,,0.001837,,,0.007614,-0.005189,0.010194,0,-0.00082,0.000999,-0.0029,0.005665,0,-0.00193,-0.00571,0.061983,-0.00518,-0.03261,-0.00264
2020/1/22,-0.000822,,-0.001024,,,-0.00321,-0.003212,-0.00743,0.006494,0,-0.00078,-0.00027,0.00013,0,0.001383,-0.01149,0.004669,-0.00033,-0.00562,0.000301
2020/1/23,-0.002185,,-0.000735,,,-0.004999,0.002867,-0.03161,0,0.001641,0.00355,-0.00319,0.004344,0,0.001994,-0.01163,0.005422,-0.0009,-0.01695,0.001114
2020/1/24,0.004569,,0.001913,,,0.009169,0.003942,0.00463,0,0.001638,0.002653,-0.00192,0,0,-0.00931,-0.01176,0.121726,-0.00584,-0.02299,-0.00902
2020/1/25,-0.000855,,-0.000756,,,-0.011524,-0.00134,-0.00919,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/26,-0.001605,,0.010128,,,0.018243,0.002371,0.027365,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/27,0.001395,,0.006853,,,0.01096,0.000187,0.036408,0,0.001124,0.000441,-0.00348,0,0,-0.01885,-0.02976,0.25206,-0.01566,-0.05294,-0.01575
2020/1/28,-0.001138,,0.00498,,,-0.004286,-0.001602,0.050368,0,0.000612,-0.00022,0.002204,0,0,0.014265,0.01227,-0.10697,0.006555,0.024845,0.010051
2020/1/29,0.001535,,0.000879,,,-0.013883,0.001722,-0.00448,0,-0.00031,0.000992,-0.00128,0,0,0.000591,-0.00606,0.006757,0.000404,-0.0303,-0.00085
2020/1/30,-0.000842,,0.01847,,,0.016441,0.000721,0.020647,0,-0.00122,-0.00187,-0.00037,0,0,0.002563,0,-0.05491,0.00435,-0.01875,0.003147
2020/1/31,-0.000803,,-0.014995,,,-0.009881,0.002081,-0.01666,0,-0.0049,-0.00563,-0.00523,0,0,-0.01591,0.006098,0.216269,-0.02091,-0.03822,-0.01772
2020/2/1,0.000568,,-0.000805,,,0.00596,-0.000953,0.004529,0,0,0,0,0,-0.02778,0,0,0,0,0,0
2020/2/2,-0.000671,,0.000646,,,-0.015014,0.007035,-0.00516,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/3,-0.00163,,-0.001727,,,0.001337,-0.001678,-0.00544,0,0.00421,0.003106,0.002676,0.012225,0,0.013382,-0.01212,-0.04618,0.005088,0.019868,0.007255
2020/2/4,0.002835,,-0.001947,,,0.005653,-0.004668,-0.01211,0,0.001636,0.001438,0.00773,-0.00328,0,0.020982,0.006135,-0.10684,0.01436,0.045455,0.01499
2020/2/5,0.001091,,0.007256,,,0.015767,0.010192,0.047104,0.025806,0.003471,0.004086,0.002648,-0.00353,0,0.0043,0.012195,-0.05607,0.016774,0.031056,0.011251
2020/2/6,-0.005606,,-0.00699,,,-0.018793,-0.024157,0.012106,0,0.002035,0.00165,0.00173,-0.00043,0,0.006675,0.006024,-0.01254,0.003036,-0.00602,0.003329
2020/2/7,0.000536,,-0.00754,,,0.005873,0.001376,0.006798,0,0.001827,0.003294,-0.00245,0.004404,0,-0.00539,-0.00599,0.034091,-0.00944,-0.03636,-0.00541
2020/2/8,0.001787,,0.002567,,,0.00924,-0.003034,0.007062,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/9,0.001939,,0.00494,,,-0.006467,0.019798,0.025499,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/10,-0.000831,,-0.005585,,,-0.011713,-0.010836,-0.02571,0,0.00152,0.003064,0.000182,-0.00244,0,0.011331,0,-0.0278,0.005989,-0.01887,0.007332
2020/2/11,-0.002216,,-0.003874,,,0.010464,-0.000581,0.035674,0,-0.00111,-0.00044,0.000273,-0.00263,0,0.001096,-0.00602,0.009309,-1.60E-05,0.019231,0.0017
2020/2/12,0.004143,,0.01796,,,0.011388,0.005099,0.011541,-0.00629,0.003343,0.00393,0.002824,0.000861,0,0.009028,0.006061,-0.09486,0.009396,0.018868,0.006433
2020/2/13,-0.00397,,-0.013571,,,-0.023146,-0.002109,-0.01081,0,0.000202,0.002936,-0.00245,0.000717,0,-0.00144,0.006024,0.02984,-0.00434,-0.00617,-0.00163
2020/2/14,0.001537,,-0.002348,,,-0.001423,0.003478,0.009569,0,0.000505,0.000867,-0.00064,0.001419,0,0.001978,-0.00599,-0.03322,-0.00086,-0.01242,0.001867
2020/2/15,-0.000986,,-0.005378,,,-0.008217,-0.001903,-0.04099,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/16,0.000144,,-0.001603,,,0.005719,-0.000919,0.004551,0,0,0,0,0,0,0,0,0,0,0,0
